en,az,ru
"5,000 minutes","5,000 dəqiqə","5,000 минут"
6 of 6 · Parking sign,6 / 6 · Parkinq nişanı,6 из 6 · Знак парковки
6 seats · 78% · 4 min walk,6 yer · 78% · 4 dəq piyada,6 мест · 78% · 4 мин пешком
6-digit code,6 rəqəmli kod,Код из 6 цифр
60 min,60 dəq,60 мин
60 minutes,60 dəqiqə,60 минут
600 minutes,600 dəqiqə,600 минут
7 characters,7 simvol,7 символов
8 Sep,8 sen,8 сен
80 km over 600 km · ₼28 added to Aysel,600 km-dən 80 km artıq · Aysel-ə ₼28 əlavə olundu,80 км сверх 600 км · Айсель начислено ₼28
A Rentbutik driver picks you up in an EV.,Rentbutik sürücüsü sizi elektromobillə götürür.,Водитель Rentbutik заберёт вас на электромобиле.
ACCOUNT ADMIN,HESAB ADMİNİ,АДМИНИСТРАТОР
Accept passenger,Sərnişini qəbul et,Принять пассажира
Accept request,Sorğunu qəbul et,Принять заявку
Accepted by the Golf team,Golf komandası qəbul etdi,Команда гольфа приняла
Accepted · Rashad ★ 4.9,Qəbul edildi · Rəşad ★ 4.9,Принято · Рашад ★ 4.9
Account,Hesab,Аккаунт
Add,Əlavə et,Добавить
Add 1 hour · ₼15,1 saat əlavə et · ₼15,Добавить 1 час · ₼15
Add 1 to 5 photos. The first one is the cover.,1–5 foto əlavə edin. Birincisi üz qabığı olur.,Добавьте от 1 до 5 фото. Первое станет обложкой.
Add 2 hours,2 saat əlavə et,Добавить 2 часа
Add a car,Avtomobil əlavə et,Добавить машину
Add a new card,Yeni kart əlavə et,Добавить новую карту
Add a place,Məkan əlavə et,Добавить место
Add a promo code,Promokod əlavə et,Добавить промокод
Add an hour,Bir saat əlavə et,Добавить час
Add card,Kart əlavə et,Добавить карту
Add money,Pul əlavə et,Пополнить
Add photos,Foto əlavə et,Добавить фото
Add ₼50,₼50 əlavə et,Пополнить на ₼50
Added ✓,Əlavə olundu ✓,Добавлено ✓
Address,Ünvan,Адрес
Admin,Admin,Админ
Air conditioning,Kondisioner,Кондиционер
Airport,Hava limanı,Аэропорт
Airport drop-off,Hava limanında düşürmə,Высадка в аэропорту
Airport pick-up,Hava limanından götürmə,Встреча в аэропорту
Airport · Terminal 1,Hava limanı · Terminal 1,Аэропорт · Терминал 1
Airport → Baku,Hava limanı → Bakı,Аэропорт → Баку
All,Hamısı,Все
Allow camera access in Settings to take the car photos.,Avtomobilin fotolarını çəkmək üçün Ayarlarda kameraya icazə verin.,"Разрешите доступ к камере в Настройках, чтобы сфотографировать машину."
Already have an account?,Artıq hesabınız var?,Уже есть аккаунт?
Any,İstənilən,Любой
Any deposit update will appear in Wallet and your trip record.,Depozitlə bağlı yeniliklər Pul kisəsində və səfər qeydində görünəcək.,Изменения по депозиту появятся в Кошельке и в записи поездки.
Appeal with a photo,Fotoyla etiraz et,Обжаловать с фото
Appearance,Görünüş,Оформление
Applied automatically · any module,Avtomatik tətbiq olunur · istənilən modul,Применяется автоматически · любой раздел
Apply,Tətbiq et,Применить
Arrive around 10:45,Təxminən 10:45-də çatacaqsınız,Прибытие около 10:45
As on your ID card,Şəxsiyyət vəsiqəsindəki kimi,Как в удостоверении
As registered,Qeydiyyatdakı kimi,Как в регистрации
Audio input,Audio giriş,Аудиовход
Automatic,Avtomat,Автомат
"Availability, price and details","Mövcudluq, qiymət və detallar","Доступность, цена и детали"
Available from,Mövcuddur,Доступна с
Available in Sea Breeze,Sea Breeze-də mövcuddur,Доступно в Sea Breeze
Aysel M.,Aysel M.,Айсель М.
Aysel sent a request,Aysel sorğu göndərdi,Айсель отправила заявку
Aysel wants to book your car,Aysel avtomobilinizi sifariş etmək istəyir,Айсель хочет забронировать вашу машину
Aysel wants to ride with you,Aysel sizinlə getmək istəyir,Айсель хочет поехать с вами
Aysel · BMW X5 M-Sport,Aysel · BMW X5 M-Sport,Айсель · BMW X5 M-Sport
Aysel · Mercedes-AMG GT,Aysel · Mercedes-AMG GT,Айсель · Mercedes-AMG GT
Azerbaijan,Azərbaycan,Азербайджан
Azərbaycan,Azərbaycan,Azərbaycan
BOOKING,SİFARİŞ,БРОНИРОВАНИЕ
Back to vehicle,Avtomobilə qayıt,Назад к машине
Baku · Sahil,Bakı · Sahil,Баку · Сахил
Baku → Airport,Bakı → Hava limanı,Баку → Аэропорт
Baku → Qabala · day tour,Bakı → Qəbələ · günlük tur,Баку → Габала · тур на день
Baku → Qabala → Baku,Bakı → Qəbələ → Bakı,Баку → Габала → Баку
Baku → Sheki,Bakı → Şəki,Баку → Шеки
"Basic cover · ₼100 deposit, refunded","Əsas sığorta · ₼100 depozit, qaytarılır","Базовая защита · депозит ₼100, возвращается"
Block,Blokla,Заблокировать
Block Hasan,Həsəni blokla,Заблокировать Гасана
Block Hasan?,Həsən bloklansın?,Заблокировать Гасана?
Blocked dates,Bağlı tarixlər,Закрытые даты
Bluetooth audio,Bluetooth audio,Bluetooth-аудио
Body type,Kuza növü,Тип кузова
"Book a car and it appears here — with your dates, your host and your keys.","Avtomobil sifariş edin, burada görünəcək — tarixlər, sahibkar və açarlarla.","Забронируйте машину — она появится здесь с датами, владельцем и ключами."
Book a ride,Gediş sifariş et,Заказать поездку
Book a seat,Yer sifariş et,Забронировать место
Book instantly,Dərhal sifariş,Мгновенное бронирование
Book · ₼16,Sifariş et · ₼16,Забронировать · ₼16
Booked,Sifariş edildi,Забронировано
Booking accepted,Sifariş qəbul edildi,Бронь принята
Booking request,Sifariş sorğusu,Заявка на бронь
Booking update,Sifariş yeniliyi,Обновление брони
By continuing you accept the Terms of service and Privacy policy.,Davam etməklə İstifadə şərtlərini və Məxfilik siyasətini qəbul edirsiniz.,"Продолжая, вы принимаете Условия использования и Политику конфиденциальности."
By request,Sorğu ilə,По запросу
"By the minute, 
hour or day","Dəqiqəlik, 
saatlıq və ya günlük","Поминутно, 
почасово или посуточно"
CAR DETAILS,AVTOMOBİL MƏLUMATLARI,ДАННЫЕ МАШИНЫ
CAR LOCATION,AVTOMOBİLİN YERİ,МЕСТО МАШИНЫ
CAR PHOTOS,AVTOMOBİLİN FOTOLARI,ФОТО МАШИНЫ
Camera access is off,Kameraya giriş bağlıdır,Доступ к камере выключен
Can I collect at 10:00?,10:00-da götürə bilərəm?,Можно забрать в 10:00?
Cancel,Ləğv et,Отмена
Cancel booking,Sifarişi ləğv et,Отменить бронь
Cancel plan,Planı ləğv et,Отменить план
Cancel request,Sorğunu ləğv et,Отменить заявку
Cancel reservation,Rezervi ləğv et,Отменить резерв
Cancel the Ford Mustang GT booking?,Ford Mustang GT sifarişi ləğv edilsin?,Отменить бронь Ford Mustang GT?
Cancel this reservation?,Bu rezerv ləğv edilsin?,Отменить этот резерв?
Cancellation,Ləğvetmə,Отмена
Cancelled,Ləğv edildi,Отменено
Car,Avtomobil,Машина
Car & driver,Avtomobil və sürücü,Машина и водитель
Car check,Avtomobil yoxlaması,Проверка машины
Car is back,Avtomobil qaytarıldı,Машина вернулась
Car locked,Avtomobil bağlıdır,Машина закрыта
Car type,Avtomobil növü,Тип машины
Card number,Kart nömrəsi,Номер карты
Cards,Kartlar,Карты
Cars near you,Yaxınlıqdakı avtomobillər,Машины рядом
Cash top-up at a Million terminal,Million terminalında nağd artırma,Пополнение наличными в терминале Million
Chats,Söhbətlər,Чаты
Chauffeur,Şofer,Шофёр
"Check the car together, then close the trip.","Avtomobili birlikdə yoxlayın, sonra səfəri bağlayın.","Проверьте машину вместе, затем закройте поездку."
Checked with renter,İcarəçi ilə yoxlanıldı,Проверено с арендатором
Checking your documents,Sənədləriniz yoxlanılır,Проверяем документы
Checkout,Ödəniş,Оформление
Choose how you will use Rentbutik.,Rentbutik-dən necə istifadə edəcəyinizi seçin.,"Выберите, как вы будете пользоваться Rentbutik."
"City, airport or address","Şəhər, hava limanı və ya ünvan","Город, аэропорт или адрес"
Close trip,Səfəri bağla,Закрыть поездку
Code,Kod,Код
Collected at,Götürülüb,Получено
Collision & theft,Qəza və oğurluq,ДТП и угон
Company,Şirkət,Компания
Company account,Şirkət hesabı,Аккаунт компании
Company card,Şirkət kartı,Карта компании
Company name,Şirkətin adı,Название компании
Company rides go on one monthly invoice.,Şirkət gedişləri bir aylıq hesab-fakturaya düşür.,Поездки компании идут в один счёт за месяц.
Completed,Tamamlandı,Завершено
Confirm & pay ₼499,Təsdiqlə və ödə ₼499,Подтвердить и оплатить ₼499
Confirm handoff & start rental,Təhvili təsdiqlə və icarəni başlat,Подтвердить передачу и начать аренду
Confirm the condition together before handing over the keys.,Açarları verməzdən əvvəl vəziyyəti birlikdə təsdiqləyin.,Подтвердите состояние вместе до передачи ключей.
Continue,Davam et,Продолжить
Continue to your transfer,Transferə davam et,Перейти к трансферу
Continue to your trip,Səfərə davam et,Перейти к поездке
Continue with MyGov,MyGov ilə davam et,Продолжить с MyGov
Convertible,Kabriolet,Кабриолет
Copy,Kopyala,Копировать
Country,Ölkə,Страна
Coupe,Kupe,Купе
Cover,Üz qabığı,Обложка
Credit is used first on your next trip.,Kredit növbəti səfərdə ilk istifadə olunur.,Кредит спишется первым в следующей поездке.
Current trip,Cari səfər,Текущая поездка
DESCRIPTION,TƏSVİR,ОПИСАНИЕ
Daily,Günlük,Посуточно
Daily price,Günlük qiymət,Цена за сутки
Damage excess and exclusions: ask Hasan before pickup,Zərər franşizası və istisnalar: götürməzdən əvvəl Həsəndən soruşun,Франшиза и исключения: уточните у Гасана до получения
Dark,Tünd,Тёмное
Date,Tarix,Дата
Date of birth,Doğum tarixi,Дата рождения
Dates,Tarixlər,Даты
Decline,İmtina et,Отклонить
Decline Aysel’s request?,Aysel-in sorğusu rədd edilsin?,Отклонить заявку Айсель?
Decline request,Sorğunu rədd et,Отклонить заявку
Declined,Rədd edildi,Отклонено
Decorations,Bəzək,Украшения
Default · expires 08/29,Əsas · bitir 08/29,Основная · до 08/29
Default · one invoice a month,Əsas · ayda bir hesab-faktura,Основной · один счёт в месяц
Delete,Sil,Удалить
Delete account,Hesabı sil,Удалить аккаунт
Delete your account?,Hesabınız silinsin?,Удалить аккаунт?
Deleting your account is permanent. Finish active trips and settle payments first.,Hesabın silinməsi geri qaytarılmır. Əvvəlcə aktiv səfərləri bitirin və ödənişləri tamamlayın.,Удаление аккаунта необратимо. Сначала завершите поездки и оплатите счета.
Deliver the car to me,Avtomobili mənə gətirin,Доставьте машину ко мне
Deliver to,Hara gətirilsin,Куда доставить
Deliver to me · ₼5,Mənə gətir · ₼5,Доставка ко мне · ₼5
Departure,Yola düşmə,Отправление
Deposit,Depozit,Депозит
Deposit back,Depozit qaytarılır,Депозит вернётся
Deposit included,Depozit daxildir,Депозит включён
Destination,Təyinat,Куда
Details,Ətraflı,Подробнее
Directions,Marşrut,Маршрут
Discount,Endirim,Скидка
Distance,Məsafə,Расстояние
Done,Hazır,Готово
Doors,Qapılar,Двери
Drive on your schedule,Öz qrafikinizlə sürün,Возите по своему графику
Driver,Sürücü,Водитель
Driver · 128 rides,Sürücü · 128 gediş,Водитель · 128 поездок
Driving licence,Sürücülük vəsiqəsi,Водительские права
Driving licence · back,Sürücülük vəsiqəsi · arxa,Права · оборот
Driving licence · front,Sürücülük vəsiqəsi · ön,Права · лицевая
Driving licence ✓ (from sign-in),Sürücülük vəsiqəsi ✓ (girişdən),Права ✓ (из входа)
Drop-off,Düşürmə,Высадка
"Drop-off · Heydar Aliyev Airport, Terminal 1","Düşürmə · Heydər Əliyev Hava Limanı, Terminal 1","Высадка · Аэропорт Гейдар Алиев, Терминал 1"
Due 5 Oct · 14 rides · 3 people,Son tarix 5 okt · 14 gediş · 3 nəfər,Оплатить до 5 окт · 14 поездок · 3 человека
Duration,Müddət,Длительность
EV 3 · Rashad · to the Airport · ₼35,EV 3 · Rəşad · Hava limanına · ₼35,EV 3 · Рашад · в аэропорт · ₼35
EV plan,EV planı,EV-план
EV plan · −30 %,EV planı · −30 %,EV-план · −30 %
EV plan · −52 %,EV planı · −52 %,EV-план · −52 %
EV ride,EV gedişi,Поездка на EV
EXTRAS YOU OFFER,TƏKLİF ETDİYİNİZ ƏLAVƏLƏR,ВАШИ ДОПОЛНЕНИЯ
Earlier,Daha əvvəl,Ранее
Earn with your car,Avtomobilinizlə qazanın,Зарабатывайте на машине
Earnings · September,Qazanc · sentyabr,Доход · сентябрь
Edit,Redaktə et,Изменить
Electric car,Elektromobil,Электромобиль
Electric car with a driver,Sürücülü elektromobil,Электромобиль с водителем
"Electric ride completed
Rentbutik EV 6 · 60 min · ₼16","Elektromobil gedişi bitdi
Rentbutik EV 6 · 60 dəq · ₼16","Поездка на электромобиле завершена
Rentbutik EV 6 · 60 мин · ₼16"
Elvin · Baku,Elvin · Bakı,Эльвин · Баку
Elvin · Lamborghini Aventador · on request,Elvin · Lamborghini Aventador · sorğu ilə,Эльвин · Lamborghini Aventador · по запросу
Email,E-poçt,Эл. почта
Email us,Bizə yazın,Написать нам
Emin,Emin,Эмин
Emin (you),Emin (siz),Эмин (вы)
End trip,Səfəri bitir,Завершить
English,English,English
"Estimated earnings: about ₼1,890 a month at 4 booked days a week, after the service fee.","Təxmini qazanc: həftədə 4 sifarişli gün ilə ayda təxminən ₼1,890, xidmət haqqı çıxılmaqla.","Примерный доход: около ₼1,890 в месяц при 4 днях брони в неделю, после комиссии."
Everyone books on the company account within their monthly limit. Tap a person to change the limit or remove them.,Hər kəs aylıq limiti daxilində şirkət hesabı ilə sifariş edir. Limiti dəyişmək və ya silmək üçün şəxsə toxunun.,"Все бронируют на аккаунт компании в пределах месячного лимита. Нажмите на человека, чтобы изменить лимит или удалить."
Expires 03/28,Bitir 03/28,До 03/28
Expires 08/29,Bitir 08/29,До 08/29
Expiry,Bitmə tarixi,Срок действия
Extend,Uzat,Продлить
Extend rental,İcarəni uzat,Продлить аренду
Extend · ₼38,Uzat · ₼38,Продлить · ₼38
Extended to 18:00 · ₼38 added,18:00-a qədər uzadıldı · ₼38 əlavə olundu,Продлено до 18:00 · добавлено ₼38
Extra distance,Əlavə məsafə,Доп. пробег
Extras,Əlavələr,Дополнения
FEATURES,XÜSUSİYYƏTLƏR,ОСОБЕННОСТИ
FIN code,FİN kod,ФИН-код
Face ID,Face ID,Face ID
Features,Xüsusiyyətlər,Особенности
Filters,Filtrlər,Фильтры
Find a car,Avtomobil tap,Найти машину
Find another car,Başqa avtomobil tap,Найти другую машину
Fire extinguisher,Yanğınsöndürən,Огнетушитель
First aid kit,İlk yardım dəsti,Аптечка
First ride ₼5 off,İlk gediş ₼5 endirimlə,Первая поездка −₼5
"Flexible cancellation: free until 2 h before. Paid after the ride — Wallet first, then your card.","Çevik ləğv: 2 saat qalana qədər pulsuz. Gedişdən sonra ödənilir — əvvəl Pul kisəsi, sonra kart.","Гибкая отмена: бесплатно за 2 ч до поездки. Оплата после поездки — сначала Кошелёк, затем карта."
Flexible · free until 2 h before,Çevik · 2 saat qalana qədər pulsuz,Гибкая · бесплатно за 2 ч
For 30 days,30 gün üçün,На 30 дней
For 365 days,365 gün üçün,На 365 дней
For 7 days,7 gün üçün,На 7 дней
Friends get ₼10 off their first trip. You get ₼10 in your Wallet when it ends.,Dostlarınız ilk səfərdə ₼10 endirim alır. Səfər bitəndə Pul kisənizə ₼10 düşür.,Друзья получают −₼10 на первую поездку. Вы получите ₼10 в Кошелёк после её окончания.
Friends joined,Qoşulan dostlar,Присоединились друзья
Front,Ön,Перед
Front of the car,Avtomobilin önü,Перед машины
Front of the cart,Karın önü,Перед карта
Fuel,Yanacaq,Топливо
Fuel level · odometer,Yanacaq · yürüş,Топливо · пробег
Fuel type,Yanacaq növü,Тип топлива
Full name,Ad və soyad,Имя и фамилия
Full tank,Dolu bak,Полный бак
"Full · 24,180 km","Dolu · 24,180 km","Полный · 24,180 км"
"Full · 31,860 km · 680 km driven","Dolu · 31,860 km · 680 km sürülüb","Полный · 31,860 км · проехано 680 км"
GPS,GPS,GPS
Get notified,Xəbər al,Уведомить меня
Get the code on WhatsApp instead,Kodu WhatsApp-da al,Получить код в WhatsApp
Get ₼10 each,Hərəyə ₼10,По ₼10 каждому
Gobustan & mud volcanoes,Qobustan və palçıq vulkanları,Гобустан и грязевые вулканы
Gobustan tour,Qobustan turu,Тур в Гобустан
Golf cart,Qolf karı,Гольф-кар
Golf cart 2,Qolf karı 2,Гольф-кар 2
Golf cart 4,Qolf karı 4,Гольф-кар 4
Golf cart 4 becomes available to other guests. The ₼100 deposit is released.,Qolf karı 4 digər qonaqlar üçün açılır. ₼100 depozit azad edilir.,Гольф-кар 4 станет доступен другим гостям. Депозит ₼100 будет разблокирован.
Golf cart 4 · Sea Breeze · 2 hours,Qolf karı 4 · Sea Breeze · 2 saat,Гольф-кар 4 · Sea Breeze · 2 часа
Golf cart 6,Qolf karı 6,Гольф-кар 6
Golf cart 6 · arrives in about 5 min,Qolf karı 6 · təxminən 5 dəq-yə çatır,Гольф-кар 6 · прибудет примерно через 5 мин
Golf cart with a driver,Sürücülü qolf karı,Гольф-кар с водителем
"Golf ride completed
Golf cart 4 · 2 hours · ₼32","Qolf gedişi bitdi
Qolf karı 4 · 2 saat · ₼32","Поездка на гольф-каре завершена
Гольф-кар 4 · 2 часа · ₼32"
HN,HN,ГН
Handoff,Təhvil,Передача
Hasan,Həsən,Гасан
Hasan Nabiyev,Həsən Nəbiyev,Гасан Набиев
Hasan confirms within 30 min. Free cancellation until 16:00.,Həsən 30 dəq ərzində təsdiqləyir. 16:00-a qədər pulsuz ləğv.,Гасан подтвердит в течение 30 мин. Бесплатная отмена до 16:00.
"Hasan sent you a message
“The Mercedes is ready for your trip.”","Həsən sizə mesaj göndərdi
“Mercedes səfərinizə hazırdır.”","Гасан прислал сообщение
«Mercedes готов к поездке.»"
Hasan · AMG GT · checked ✓,Həsən · AMG GT · yoxlanılıb ✓,Гасан · AMG GT · проверено ✓
Hasan · Baku,Həsən · Bakı,Гасан · Баку
Hasan · Mercedes-AMG GT · today 18:00,Həsən · Mercedes-AMG GT · bu gün 18:00,Гасан · Mercedes-AMG GT · сегодня 18:00
Hasan · Today 18:00 · 35 min,Həsən · Bu gün 18:00 · 35 dəq,Гасан · Сегодня 18:00 · 35 мин
Hasan · ★ 4.9,Həsən · ★ 4.9,Гасан · ★ 4.9
Hatchback,Hetçbek,Хэтчбек
Held for you for 30 minutes while we check your documents.,Sənədlərinizi yoxlayarkən 30 dəqiqə sizin üçün saxlanılır.,"Держим для вас 30 минут, пока проверяем документы."
Held for you · 14:59,Sizin üçün saxlanılır · 14:59,Держим для вас · 14:59
Help,Kömək,Помощь
Help with my trip,Səfərimlə bağlı kömək,Помощь с поездкой
Heydar Aliyev Airport,Heydər Əliyev Hava Limanı,Аэропорт Гейдар Алиев
Heydar Aliyev Airport · Terminal 1,Heydər Əliyev Hava Limanı · Terminal 1,Аэропорт Гейдар Алиев · Терминал 1
"Heydar Aliyev, T1","Heydər Əliyev, T1","Гейдар Алиев, T1"
"Hi Emin, how can we help with your trip?","Salam, Emin! Səfərinizlə bağlı necə kömək edək?","Здравствуйте, Эмин! Чем помочь с поездкой?"
Hi! The car is available. We can arrange a time to meet at the pickup point.,Salam! Avtomobil boşdur. Götürmə yerində görüş vaxtını razılaşdıra bilərik.,Здравствуйте! Машина свободна. Можем договориться о встрече в месте получения.
"Hi, is 10:00 a good time to collect the car?","Salam, avtomobili 10:00-da götürmək olar?","Здравствуйте, удобно забрать машину в 10:00?"
History,Tarixçə,История
Hold steady to unlock,Açmaq üçün sabit tutun,"Держите ровно, чтобы открыть"
Hold still — we capture automatically when it is sharp.,Tərpənməyin — şəkil aydın olanda avtomatik çəkirik.,"Не двигайтесь — снимем автоматически, когда будет резко."
Hold the phone at eye level and look at the camera.,Telefonu göz səviyyəsində tutun və kameraya baxın.,Держите телефон на уровне глаз и смотрите в камеру.
Home,Ana səhifə,Главная
Home · Nizami St. 12,Ev · Nizami küç. 12,Дом · ул. Низами 12
Host,Sahibkar,Владелец
Host service fee,Sahibkar xidmət haqqı,Комиссия владельца
Host · Instant Book,Sahibkar · Dərhal sifariş,Владелец · Мгновенная бронь
Host · usually replies in 10 min,Sahibkar · adətən 10 dəq-yə cavab verir,Владелец · обычно отвечает за 10 мин
Hosting,Sahibkarlıq,Сдача в аренду
Hourly,Saatlıq,Почасово
How can we help with your trip?,Səfərinizlə bağlı necə kömək edək?,Чем помочь с поездкой?
How will you rent?,Necə icarə edəcəksiniz?,Как вы будете арендовать?
"I confirm this car has never been written off, rebuilt or sold for scrap.","Təsdiq edirəm ki, bu avtomobil heç vaxt silinməyib, bərpa olunmayıb və hurdaya satılmayıb.","Подтверждаю, что машина не списывалась, не восстанавливалась и не продавалась на лом."
I understand,Başa düşdüm,Понятно
ID card,Şəxsiyyət vəsiqəsi,Удостоверение
ID card · back,Şəxsiyyət vəsiqəsi · arxa,Удостоверение · оборот
